cpm_id	Source	Target	attn_weights_1_head_1	attn_weights_1_head_2	attn_weights_2_head_1	attn_weights_2_head_2	attn_weights_3_head_1	attn_weights_3_head_2	attn_weights_4_head_1
UHF0123	Dry therapeutic	CHP01757	0.1718	0.4173	0.2359	0.3345	0.355	0.3015	0.3257
UHF0123	Dry therapeutic	Cold therapeutic	0.326	0.1619	0.3005	0.3135	0.3478	0.2625	0.3045
UHF0123	Dry therapeutic	Hot therapeutic	0.0832	0.1262	0.1242	0.1602	0.1816	0.1265	0.155
UHF0123	Moist therapeutic	CHP04065	0.2772	0.4131	0.3315	0.342	0.3317	0.3439	0.3394
UHF0123	Moist therapeutic	Cold therapeutic	0.3882	0.1924	0.4933	0.3479	0.2928	0.4306	0.3598
UHF0123	Moist therapeutic	Hot therapeutic	0.1157	0.1499	0.2039	0.1778	0.1529	0.2075	0.1831
UHF0123	Cold therapeutic	Dry therapeutic	0.1035	0.3845	0.1223	0.2103	0.2112	0.2105	0.2132
UHF0123	Cold therapeutic	Moist therapeutic	0.1496	0.581	0.1217	0.2484	0.2893	0.1969	0.2404
UHF0123	Hot therapeutic	CHP04065	0.2503	0.4638	0.3692	0.3267	0.351	0.2626	0.3149
UHF0123	Hot therapeutic	CHP06210	0.3517	0.211	0.5202	0.3391	0.3037	0.377	0.3544
UHF0123	Hot therapeutic	CHP01757	0.188	0.5565	0.4313	0.3546	0.3162	0.3777	0.357
UHF0123	Hot therapeutic	Dry therapeutic	0.1491	0.1286	0.3258	0.2064	0.1821	0.2255	0.2121
UHF0123	Hot therapeutic	Moist therapeutic	0.1738	0.1943	0.3242	0.2439	0.2494	0.2109	0.2392
UHF0123	CHP01757	CHP01757	0.6402	0.0262	0.3328	0.3109	0.3288	0.3208	0.3173
UHF0123	CHP04065	CHP04065	0.4725	0.1231	0.2994	0.3313	0.3173	0.3935	0.3457
UHF0123	CHP06210	CHP06210	0.3028	0.6308	0.1953	0.341	0.3554	0.3219	0.3222
UHF0123	Dry therapeutic	Dry therapeutic	0.1362	0.0964	0.1782	0.1947	0.2044	0.18	0.1935
UHF0123	Moist therapeutic	Moist therapeutic	0.1924	0.1731	0.2911	0.2605	0.2357	0.2762	0.2578
UHF0123	Cold therapeutic	Cold therapeutic	0.2858	0.6457	0.2063	0.3386	0.3594	0.3069	0.3356
UHF0123	Hot therapeutic	Hot therapeutic	0.0848	0.1683	0.2271	0.1699	0.1618	0.1585	0.1699
