CPM_ID	TCMT_ID
UHF0249	TCMT02279
UHF0251	TCMT02245
UHF0251	TCMT00222
UHF0251	TCMT00138
UHF0251	TCMT02446
UHF0251	TCMT02375
UHF0252	TCMT02245
UHF0252	TCMT00222
UHF0252	TCMT00205
UHF0253	TCMT02534
UHF0253	TCMT00237
UHF0254	TCMT02534
UHF0254	TCMT02576
UHF0254	TCMT02606
UHF0255	TCMT00270
UHF0256	TCMT00270
UHF0257	TCMT02245
UHF0257	TCMT02442
UHF0257	TCMT00222
UHF0257	TCMT02444
UHF0257	TCMT02380
UHF0258	TCMT02245
UHF0258	TCMT00205
UHF0258	TCMT02320
UHF0259	TCMT02534
UHF0259	TCMT00302
UHF0259	TCMT00133
UHF0260	TCMT02576
UHF0261	TCMT02245
UHF0261	TCMT00205
UHF0261	TCMT02320
UHF0262	TCMT02245
UHF0262	TCMT00206
UHF0263	TCMT02534
UHF0263	TCMT02576
UHF0264	TCMT02248
UHF0265	TCMT02534
UHF0266	TCMT02670
UHF0267	TCMT02247
UHF0267	TCMT00088
UHF0267	TCMT00083
UHF0268	TCMT02245
UHF0269	TCMT02246
UHF0269	TCMT02442
UHF0270	TCMT02442
UHF0271	TCMT02442
UHF0271	TCMT02375
UHF0272	TCMT02375
UHF0273	TCMT02245
UHF0273	TCMT02320
UHF0273	TCMT02428
UHF0274	TCMT02245
UHF0274	TCMT02380
UHF0274	TCMT02375
UHF0275	TCMT02245
UHF0275	TCMT00173
UHF0275	TCMT02318
UHF0276	TCMT02247
UHF0276	TCMT00298
UHF0276	TCMT02606
UHF0277	TCMT02671
UHF0277	TCMT02648
UHF0278	TCMT02247
UHF0278	TCMT00238
UHF0278	TCMT00173
UHF0279	TCMT02576
UHF0280	TCMT00222
UHF0280	TCMT02446
UHF0281	TCMT02247
UHF0281	TCMT02318
UHF0281	TCMT02534
UHF0282	TCMT02648
UHF0283	TCMT02245
UHF0284	TCMT02247
UHF0284	TCMT00222
